Atlantic Reporter	A.
Canadian Tax Journal	C.T.J.
Code du travail (France)	C. Trav.
The Consolidated Treaty Series (Parry)	C.T.S.
Canada Treaty Series - Recueil des traités du Canada	C.T.S.
Commissaire du travail	C.T.
Commision de reconnaissance des associations d'artistes	C.R.A.A.
Décisions du Commissaire du travail, du Tribunal du travail et de la Commission de reconnaissance des associations d'artistes	C.T./T.T./C.R.A.A.
Canadian Unemployment Board. Decision of the Umpire. Décision de l'arbitre	C.U.B.
Canada-U.S. Business Law Review	C.U.B.L.R.
Current Law and Social Problems	Current Law
Current Legal Problems	Curr. Legal Probs.
Canadian Weekly Law Sheet	C.W.L.S.
The Canadian Yearbook of International Law	C.Y.I.L.
Recueil Dalloz	D.
Dalhousie Law Journal	Dalhousie L.J.
Dalhousie Journal of Legal Studies	Dalhous. J. Leg. Stud.
Dalhousie Journal of Legal Studies	Dalhous. L.J.
Dalhousie Journal of Legal Studies	Dal. J. Leg. Stud.
Décisions du bureau du commissaire-enquêteur en chef	D.B.C.E.
Décisions des comités d'appel	DCA
Décisions sur les conflits de droit dans les relations de travail	D.C.D.
Décisions sur les conflits de droit dans les relations de travail	D.C.D.R.T.
Décisions de la Commission des loyers	D.C.L.
Décisions de la Commission des relations de travail	D.C.R.T.
Décisions disciplinaires concernant les corporations professionnelles	D.D.C.P.
Droit disciplinaire express	D.D.E.
Décisions disciplinaires concernant les ordres professionnels	D.D.O.P.
Décisions des tribunaux du Bas-Canada	Déc.B.-C.
Répertoire du notariat Defrénois	Defrénois
Digest of Environmental Law and Environmental Assesment	D.E.L.E.A.
Denver Law Journal	Denv. L.J.
Denver University Law Review	Denv. U. L. Rev.
Droit fiscal québécois express	D.F.Q.E.
Décisions-informations (Conseil canadien des relations de travail)	D.I.
The Digest of Municipal and Planning Law	Digest M. & P.L., (2d)
Documents juridiques internationaux	D.J.I.
Duke Law Journal	D.L.J.
Dalhousie Law Journal	D.L.J.
Recueil des décisions des droits et libertés de la personne	D.L.Q.
Dominion Law Reports	D.L.R.
Droit maritime français	D.M.F.
Digest of Municipal & Planning Law	D.M.P.L.
Décrets, Ordonnances et Règlements Statutaires (refontes 1949, 1955)	D.O.R.S.
Recueil des décisions en matière de permis d'alcool	D.P.A.
Droit et pratique du commerce international	D.P.C.I.
Droit administratif	Dr. adm.
Droit de la famille	Dr. famille
Revue de droit fiscal	Dr. fisc.
Décisions de la Régie du logement	D.R.L.
Droits : revue française de théorie juridique	Droits
Droits : revue française de théorie juridique	Droits Rev Fr
Droit pénal	Dr. pénal
Revue de droit rural	Dr. rural
Droit social	Dr. Soc.
Droit des sociétés	Dr. sociétés
Recueil Dalloz-Sirey	D.S.
Décisions des tribunaux du Bas-Canada	D.T.B.C.
Dominion Tax Cases	D.T.C.
Droit du travail express	D.T.E.
Duke Bar Association Journal	Duke B.A.J.
Duke Law Journal	Duke L.J.
Dublin University Law Review	D.U.L.R.
English & Irish Appeals	E & I.
Estates & Trusts Journal	E.& T.J.
Ecology Law Quarterly	Ecology L.Q.
Education & Law Journal	Educ. & L.J.
European Human Rights Reports	E.H.R.R.
Études internationales	E.I. (Qué.)
European Journal of International Law	EJIL
Education & Law Journal	E.L.J.
Eastern Law Reporter	E.L.R.
Emory International Law Review	Emory Int'l L. Rev.
Emory Law Journal	Emory L.J.
English Reports	Eng. Rep.
Entertainment and Sports Lawyer	Ent. & Sports Law.
Entertainment and Sports Law Journal	Ent. & Sports L. J.
Environmental Law Alert	Env.L.Alert
Environmental Law Reporter	Envtl. L. Rep.
Employment Practices Decisions	E.P.D.
Equity Cases	Eq.
English Reports	E.R.
Estates & Trusts Journal	Est.& T.J.
Estates & Trusts Quaterly	Est. & Tr. Q.
Estates & Trusts Journal	Estates J.
Estates and Trusts Quarterly	E.T.Q.
Estates & Trusts Reports	E.T.R.
Études internationales	Études i.
European Treaty Series. Série des Traités européens	Europ.T.S.
Exchequer Cases	Ex.
